epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
152,3721.58,0.95313,0.53861,1.08676,0.96337,0.92069,0.96218,0.6252,1.35171,0.5884,1.42932,0.0070102,0.0070102,0.0070102
153,3743.49,0.9397,0.53091,1.086,0.94719,0.93267,0.96155,0.62288,1.36237,0.57131,1.43732,0.0069904,0.0069904,0.0069904
154,3765.3,0.94603,0.53034,1.08579,0.94302,0.93675,0.96127,0.62634,1.35925,0.57007,1.42673,0.0069706,0.0069706,0.0069706
155,3787.16,0.94779,0.53607,1.08742,0.93101,0.93183,0.96227,0.62999,1.34781,0.57327,1.40241,0.0069508,0.0069508,0.0069508
156,3809.17,0.95287,0.52892,1.08306,0.94232,0.93869,0.96007,0.62707,1.35653,0.56901,1.4102,0.006931,0.006931,0.006931
157,3831.09,0.92867,0.51744,1.08119,0.9433,0.9192,0.95834,0.62338,1.36311,0.58536,1.41904,0.0069112,0.0069112,0.0069112
158,3853,0.94632,0.53702,1.08303,0.94161,0.93261,0.9606,0.62566,1.35721,0.56557,1.41021,0.0068914,0.0068914,0.0068914
159,3874.84,0.93498,0.52449,1.07539,0.95026,0.92137,0.95854,0.62441,1.36174,0.58481,1.42267,0.0068716,0.0068716,0.0068716
160,3896.71,0.93083,0.52662,1.08635,0.94784,0.91887,0.95869,0.62929,1.34852,0.57774,1.42208,0.0068518,0.0068518,0.0068518
161,3918.62,0.92186,0.51781,1.07157,0.95728,0.93579,0.96447,0.63318,1.35013,0.566,1.4185,0.006832,0.006832,0.006832
162,3940.54,0.9335,0.52633,1.07283,0.94189,0.93197,0.96188,0.62266,1.3549,0.57558,1.41873,0.0068122,0.0068122,0.0068122
163,3962.46,0.91853,0.52436,1.07688,0.94523,0.92238,0.95984,0.62729,1.35538,0.58268,1.42695,0.0067924,0.0067924,0.0067924
164,3984.38,0.93293,0.51989,1.07646,0.94078,0.92835,0.96203,0.62882,1.35745,0.57235,1.43264,0.0067726,0.0067726,0.0067726
165,4006.35,0.91763,0.51677,1.07766,0.94077,0.92032,0.9523,0.62603,1.359,0.57246,1.43886,0.0067528,0.0067528,0.0067528
166,4028.29,0.92908,0.53179,1.08127,0.9587,0.93244,0.9617,0.62899,1.35724,0.57602,1.43021,0.006733,0.006733,0.006733
167,4050.24,0.91078,0.51213,1.06056,0.95711,0.93199,0.95692,0.6164,1.36337,0.57485,1.4335,0.0067132,0.0067132,0.0067132
168,4072.24,0.92969,0.51811,1.07395,0.96018,0.93304,0.95907,0.62536,1.35989,0.57422,1.42846,0.0066934,0.0066934,0.0066934
169,4094.05,0.91949,0.52124,1.07558,0.95795,0.92637,0.96326,0.62758,1.35474,0.57239,1.43023,0.0066736,0.0066736,0.0066736
170,4115.86,0.91058,0.51817,1.06925,0.9515,0.92652,0.95902,0.62746,1.34712,0.57464,1.42878,0.0066538,0.0066538,0.0066538
171,4137.75,0.90365,0.51656,1.0647,0.94671,0.92319,0.95456,0.62672,1.34624,0.56945,1.43357,0.006634,0.006634,0.006634
172,4159.68,0.9126,0.51165,1.07181,0.95074,0.92495,0.95944,0.62686,1.34984,0.5706,1.41468,0.0066142,0.0066142,0.0066142
173,4181.57,0.89717,0.50153,1.06027,0.94985,0.92771,0.96052,0.63152,1.33905,0.57975,1.42326,0.0065944,0.0065944,0.0065944
174,4203.38,0.9024,0.51984,1.06308,0.93939,0.9295,0.96046,0.6369,1.34005,0.57313,1.42322,0.0065746,0.0065746,0.0065746
175,4225.24,0.89641,0.50682,1.05569,0.94439,0.92507,0.96138,0.62854,1.34694,0.57409,1.43174,0.0065548,0.0065548,0.0065548
176,4247.25,0.90562,0.51104,1.06209,0.95341,0.90809,0.95631,0.62513,1.35244,0.59988,1.43573,0.006535,0.006535,0.006535
